Team,OVA
Manchester City,85
Liverpool,84
Chelsea,83
Manchester United,82
Tottenham Hotspur,82
Arsenal,81
Aston Villa,79
Newcastle United,79
West Ham United,79
Leicester City,79
Wolverhampton Wanderers,78
Everton,77
Nottingham Forest,77
Crystal Palace,76
Leeds United,76
Brighton & Hove Albion,76
Southampton,76
Fulham,76
Brentford,75
AFC Bournemouth,74
Watford,73
Burnley,73
Norwich City,72
Sheffield United,72
West Bromwich Albion,72
Middlesbrough,71
Blackburn Rovers,70
Coventry City,70
Preston North End,70
Queens Park Rangers,70
Millwall,70
Huddersfield Town,70
Hull City,70
Reading,69
Stoke City,69
Birmingham City,69
Wigan Athletic,69
Bristol City,69
Luton Town,69
Swansea City,69
Sunderland,68
Blackpool,68
Cardiff City,68
Rotherham United,67
